Kind,Name,File,CountOutput,CountPath,CountInput
Public Constructor,"A_Star.A_Star.Edge.Edge",A_Star.java,4,1,5
Public Method,"A_Star.A_Star.Edge.getFrom",A_Star.java,1,1,2
Public Method,"A_Star.A_Star.Edge.getTo",A_Star.java,1,1,3
Public Method,"A_Star.A_Star.Edge.getWeight",A_Star.java,1,1,3
Public Constructor,"A_Star.A_Star.Graph.Graph",A_Star.java,3,2,2
Private Method,"A_Star.A_Star.Graph.addEdge",A_Star.java,5,1,3
Private Method,"A_Star.A_Star.Graph.getNeighbours",A_Star.java,1,1,3
Public Constructor,"A_Star.A_Star.PathAndDistance.PathAndDistance",A_Star.java,4,1,4
Public Method,"A_Star.A_Star.PathAndDistance.getDistance",A_Star.java,1,1,2
Public Method,"A_Star.A_Star.PathAndDistance.getEstimated",A_Star.java,1,1,1
Public Method,"A_Star.A_Star.PathAndDistance.getPath",A_Star.java,1,1,2
Private Method,"A_Star.A_Star.PathAndDistance.printSolution",A_Star.java,2,2,4
Public Static Method,"A_Star.A_Star.aStar",A_Star.java,18,5,6
Lambda Method,"A_Star.A_Star.aStar.(lambda_expr_1)",A_Star.java,3,1,1
Private Static Method,"A_Star.A_Star.initializeGraph",A_Star.java,4,2,3
Public Static Method,"A_Star.A_Star.main",A_Star.java,6,1,0
Constructor,"BSTIterative.BSTIterative",BSTIterative.java,2,1,2
Constructor,"BSTIterative.Node.Node",BSTIterative.java,4,1,2
Public Method,"BSTIterative.add",BSTIterative.java,5,10,8
Public Method,"BSTIterative.find",BSTIterative.java,2,4,8
Public Method,"BSTIterative.inorder",BSTIterative.java,7,4,7
Public Static Method,"BSTIterative.main",BSTIterative.java,5,1,0
Public Method,"BSTIterative.postorder",BSTIterative.java,8,6,5
Public Method,"BSTIterative.preorder",BSTIterative.java,7,6,5
Public Method,"BSTIterative.remove",BSTIterative.java,4,76,7
Constructor,"BSTRecursive.BSTRecursive",BSTRecursive.java,2,1,0
Constructor,"BSTRecursive.Node.Node",BSTRecursive.java,4,1,2
Public Method,"BSTRecursive.add",BSTRecursive.java,2,1,2
Private Method,"BSTRecursive.delete",BSTRecursive.java,5,8,7
Public Method,"BSTRecursive.find",BSTRecursive.java,3,2,3
Private Method,"BSTRecursive.inOrder",BSTRecursive.java,1,5,6
Public Method,"BSTRecursive.inorder",BSTRecursive.java,3,1,2
Private Method,"BSTRecursive.insert",BSTRecursive.java,4,4,6
Public Static Method,"BSTRecursive.main",BSTRecursive.java,5,1,0
Private Method,"BSTRecursive.postOrder",BSTRecursive.java,1,5,6
Public Method,"BSTRecursive.postorder",BSTRecursive.java,3,1,2
Private Method,"BSTRecursive.preOrder",BSTRecursive.java,1,5,6
Public Method,"BSTRecursive.preorder",BSTRecursive.java,3,1,2
Public Method,"BSTRecursive.remove",BSTRecursive.java,2,1,2
Private Method,"BSTRecursive.search",BSTRecursive.java,1,4,6
Public Static Method,"Conversions.AnyBaseToAnyBase.base2base",AnyBaseToAnyBase.java,4,12,4
Public Static Method,"Conversions.AnyBaseToAnyBase.main",AnyBaseToAnyBase.java,8,10,4
Public Static Method,"Conversions.AnyBaseToAnyBase.validForBase",AnyBaseToAnyBase.java,6,6,4
Public Static Method,"Conversions.AnyBaseToDecimal.convertToDecimal",AnyBaseToDecimal.java,5,3,3
Public Static Method,"Conversions.AnyBaseToDecimal.main",AnyBaseToDecimal.java,2,1,0
Public Static Method,"Conversions.AnyBaseToDecimal.valOfChar",AnyBaseToDecimal.java,4,2,2
Public Static Method,"Conversions.AnytoAny.main",AnytoAny.java,4,4,2
Public Static Method,"Conversions.BinaryToDecimal.main",BinaryToDecimal.java,6,2,2
Static Method,"Conversions.BinaryToHexadecimal.binToHex",BinaryToHexadecimal.java,7,12,2
Public Static Method,"Conversions.BinaryToHexadecimal.main",BinaryToHexadecimal.java,5,1,2
Public Static Method,"Conversions.BinaryToOctal.convertBinaryToOctal",BinaryToOctal.java,1,3,2
Public Static Method,"Conversions.BinaryToOctal.main",BinaryToOctal.java,5,1,2
Public Static Method,"Conversions.DecimalToAnyBase.convertToAnyBase",DecimalToAnyBase.java,9,4,3
Public Static Method,"Conversions.DecimalToAnyBase.main",DecimalToAnyBase.java,8,1,2
Public Static Method,"Conversions.DecimalToAnyBase.reVal",DecimalToAnyBase.java,1,2,2
Public Static Method,"Conversions.DecimalToBinary.bitwiseConversion",DecimalToBinary.java,6,2,3
Public Static Method,"Conversions.DecimalToBinary.conventionalConversion",DecimalToBinary.java,6,2,3
Public Static Method,"Conversions.DecimalToBinary.main",DecimalToBinary.java,2,1,0
Public Static Method,"Conversions.DecimalToHexaDecimal.decToHex",DecimalToHexaDecimal.java,6,2,6
Public Static Method,"Conversions.DecimalToHexaDecimal.main",DecimalToHexaDecimal.java,3,1,1
Public Static Method,"Conversions.DecimalToOctal.main",DecimalToOctal.java,6,2,2
Public Static Method,"Conversions.HexToOct.decimal2octal",HexToOct.java,2,2,2
Public Static Method,"Conversions.HexToOct.hex2decimal",HexToOct.java,5,2,2
Public Static Method,"Conversions.HexToOct.main",HexToOct.java,7,1,2
Public Method,"Conversions.HexaDecimalToBinary.completeDigits",HexaDecimalToBinary.java,2,2,3
Public Method,"Conversions.HexaDecimalToBinary.convert",HexaDecimalToBinary.java,4,1,3
Public Static Method,"Conversions.HexaDecimalToBinary.main",HexaDecimalToBinary.java,1,2,0
Public Static Method,"Conversions.HexaDecimalToDecimal.getHexaToDec",HexaDecimalToDecimal.java,5,2,2
Public Static Method,"Conversions.HexaDecimalToDecimal.main",HexaDecimalToDecimal.java,6,1,2
Public Static Method,"Conversions.IntegerToRoman.integerToRoman",IntegerToRoman.java,4,4,5
Public Static Method,"Conversions.IntegerToRoman.main",IntegerToRoman.java,2,1,1
Public Static Method,"Conversions.OctalToDecimal.convertOctalToDecimal",OctalToDecimal.java,3,2,3
Public Static Method,"Conversions.OctalToDecimal.main",OctalToDecimal.java,6,2,2
Public Static Method,"Conversions.OctalToHexadecimal.decimalToHex",OctalToHexadecimal.java,2,3,2
Public Static Method,"Conversions.OctalToHexadecimal.main",OctalToHexadecimal.java,7,1,2
Public Static Method,"Conversions.OctalToHexadecimal.octToDec",OctalToHexadecimal.java,3,2,2
Public Static Method,"Conversions.RomanToInteger.main",RomanToInteger.java,2,1,1
Public Static Method,"Conversions.RomanToInteger.romanToInt",RomanToInteger.java,5,5,3
Public Constructor,"DataStructures.Bags.Bag.Bag",Bag.java,3,1,1
Public Constructor,"DataStructures.Bags.Bag.ListIterator.ListIterator",Bag.java,2,1,2
Public Method,"DataStructures.Bags.Bag.ListIterator.hasNext",Bag.java,1,1,2
Public Method,"DataStructures.Bags.Bag.ListIterator.next",Bag.java,4,2,3
Public Method,"DataStructures.Bags.Bag.ListIterator.remove",Bag.java,1,1,0
Public Method,"DataStructures.Bags.Bag.add",Bag.java,4,1,3
Public Method,"DataStructures.Bags.Bag.contains",Bag.java,5,3,2
Public Method,"DataStructures.Bags.Bag.isEmpty",Bag.java,1,1,1
Public Method,"DataStructures.Bags.Bag.iterator",Bag.java,2,1,2
Public Static Method,"DataStructures.Bags.Bag.main",Bag.java,6,2,1
Public Method,"DataStructures.Bags.Bag.size",Bag.java,1,1,2
Public Constructor,"DataStructures.Buffers.CircularBuffer.CircularBuffer",CircularBuffer.java,5,2,2
Private Method,"DataStructures.Buffers.CircularBuffer.IsPowerOfTwo",CircularBuffer.java,1,1,2
Public Constructor,"DataStructures.Buffers.CircularBuffer.TestReadWorker.TestReadWorker",CircularBuffer.java,2,1,2
Public Method,"DataStructures.Buffers.CircularBuffer.TestReadWorker.run",CircularBuffer.java,8,4,2
Public Constructor,"DataStructures.Buffers.CircularBuffer.TestWriteWorker.TestWriteWorker",CircularBuffer.java,2,1,2
Private Method,"DataStructures.Buffers.CircularBuffer.TestWriteWorker.getRandomChar",CircularBuffer.java,4,1,3
Public Method,"DataStructures.Buffers.CircularBuffer.TestWriteWorker.run",CircularBuffer.java,5,4,1
Private Method,"DataStructures.Buffers.CircularBuffer.getTrueIndex",CircularBuffer.java,1,1,4
Public Static Method,"DataStructures.Buffers.CircularBuffer.main",CircularBuffer.java,7,1,0
Public Method,"DataStructures.Buffers.CircularBuffer.readOutChar",CircularBuffer.java,6,2,4
Public Method,"DataStructures.Buffers.CircularBuffer.writeToCharBuffer",CircularBuffer.java,6,2,5
Public Constructor,"DataStructures.DynamicArray.DynamicArray.DynamicArray",DynamicArray.java,4,1,2
Public Constructor,"DataStructures.DynamicArray.DynamicArray.DynamicArray",DynamicArray.java,4,1,2
Public Method,"DataStructures.DynamicArray.DynamicArray.DynamicArrayIterator.forEachRemaining",DynamicArray.java,3,2,2
Public Method,"DataStructures.DynamicArray.DynamicArray.DynamicArrayIterator.hasNext",DynamicArray.java,1,1,2
Public Method,"DataStructures.DynamicArray.DynamicArray.DynamicArrayIterator.next",DynamicArray.java,5,4,4
Public Method,"DataStructures.DynamicArray.DynamicArray.DynamicArrayIterator.remove",DynamicArray.java,3,2,1
Public Method,"DataStructures.DynamicArray.DynamicArray.add",DynamicArray.java,4,2,5
Private Method,"DataStructures.DynamicArray.DynamicArray.fastRemove",DynamicArray.java,3,2,4
Public Method,"DataStructures.DynamicArray.DynamicArray.get",DynamicArray.java,2,1,1
Private Method,"DataStructures.DynamicArray.DynamicArray.getElement",DynamicArray.java,1,1,6
Public Method,"DataStructures.DynamicArray.DynamicArray.getSize",DynamicArray.java,1,1,2
