Kind,Name,File,CountOutput,CountPath,CountInput
Static Function,ImportULDAPOptFn,mod_authnz_ldap.c,9,1,1
Static Function,_advance,regexp.c,9,128,10
Static Function,abort_on_oom,ab.c,3,1,3
Static Function,abort_on_oom,main.c,2,1,2
Function,abort_on_oom,passwd_common.c,5,4,1
Static Function,accept_mutex_error,worker.c,3,6,16
Static Function,access_compat_ap_satisfies,mod_access_compat.c,1,1,6
Static Function,accessible,htpasswd.c,3,2,4
Static Function,action_handler,mod_actions.c,9,82,28
Static Function,add_action,mod_actions.c,5,2,7
Static Function,add_alias,mod_alias.c,8,5,8
Static Function,add_alias_internal,mod_alias.c,11,12,27
Static Function,add_alias_regex,mod_alias.c,2,1,4
Static Function,add_alt,mod_autoindex.c,5,6,11
Static Function,add_any_filter,util_filter.c,3,29,21
Static Function,add_any_filter_handle,util_filter.c,9,70,22
Static Function,add_auth_info,mod_auth_digest.c,11,21,25
Static Function,add_authn_provider,mod_auth_form.c,9,5,9
Static Function,add_authn_provider,mod_auth_digest.c,9,5,9
Static Function,add_authn_provider,mod_auth_basic.c,9,5,9
Static Function,add_authz_provider,mod_authz_core.c,19,38,19
Static Function,add_authz_section,mod_authz_core.c,19,66,18
Static Function,add_basic_fake,mod_auth_basic.c,7,7,6
Static Function,add_browser,mod_setenvif.c,2,1,3
Static Function,add_cache_disable,mod_cache.c,12,7,12
Static Function,add_cache_enable,mod_cache.c,12,18,13
Static Function,add_cl,mod_proxy_http.c,6,1,9
Static Function,add_client,mod_auth_digest.c,13,11,17
Static Function,add_cookie,mod_rewrite.c,11,18,16
Static Function,add_custom_log,mod_log_config.c,13,10,14
Static Function,add_desc,mod_autoindex.c,10,2,7
Static Function,add_env_module_vars_passed,mod_env.c,5,3,10
Static Function,add_env_module_vars_set,mod_env.c,6,3,13
Static Function,add_env_module_vars_unset,mod_env.c,3,1,4
Static Function,add_envvars,mod_setenvif.c,5,14,9
Static Function,add_extension_info,mod_mime.c,9,8,9
Static Function,add_filter,mod_filter.c,14,10,13
Static Function,add_global_log,mod_log_config.c,4,3,12
Static Function,add_header_do,cache_storage.c,2,1,4
Static Function,add_icon,mod_autoindex.c,8,13,10
Static Function,add_ignore,mod_autoindex.c,2,1,5
Static Function,add_ignore_header,mod_cache.c,6,3,9
Static Function,add_ignore_session_id,mod_cache.c,6,3,9
Static Function,add_include_vars,mod_include.c,5,8,9
Static Function,add_include_vars_lazy,mod_include.c,5,12,11
Static Function,add_index,mod_dir.c,7,8,6
Static Function,add_log_id,log.c,1,2,5
Static Function,add_member,mod_proxy.c,26,1021,27
Static Function,add_module_info,mod_info.c,4,1,8
Static Function,add_name_vhost_config,vhost.c,6,3,7
Static Function,add_optional_notes,http_protocol.c,3,2,7
Static Function,add_options,mod_ext_filter.c,5,5,4
Static Function,add_opts,mod_autoindex.c,17,442,8
Static Function,add_pass,mod_proxy.c,41,1525,31
Static Function,add_pass_noregex,mod_proxy.c,2,1,3
Static Function,add_pass_regex,mod_proxy.c,2,1,3
Static Function,add_pass_reverse,mod_proxy.c,7,5,7
Static Function,add_password,htdigest.c,9,8,5
Static Function,add_proxy,mod_proxy.c,14,18,12
Static Function,add_proxy_http_headers,mod_proxy.c,3,1,2
Static Function,add_proxy_noregex,mod_proxy.c,2,1,4
Static Function,add_proxy_regex,mod_proxy.c,2,1,4
Static Function,add_redirect,mod_alias.c,2,1,5
Static Function,add_redirect2,mod_alias.c,2,1,4
Static Function,add_redirect_internal,mod_alias.c,17,448,20
Static Function,add_redirect_regex,mod_alias.c,2,1,5
Static Function,add_session_exclude,mod_session.c,2,1,3
Static Function,add_session_include,mod_session.c,2,1,3
Static Function,add_setenvif,mod_setenvif.c,4,2,6
Static Function,add_setenvif_core,mod_setenvif.c,20,64,25
Static Function,add_setenvifexpr,mod_setenvif.c,14,3,13
Static Function,add_ssi_vars,mod_cgid.c,8,6,7
Static Function,add_te_chunked,mod_proxy_http.c,5,1,8
Static Function,add_them_all,mod_headers.c,2,1,4
Static Function,add_trailers,mod_proxy_http.c,2,2,4
Static Function,add_unless_null,util_script.c,1,2,5
Static Function,add_vary,util_expr_eval.c,3,3,6
Static Function,addit_dammit,ajp_header.c,2,1,4
Static Function,addit_dammit,mod_proxy_http.c,2,1,4
Static Function,address,sed0.c,9,12,9
Static Function,age,mod_lbmethod_bytraffic.c,1,1,1
Static Function,age,mod_lbmethod_bybusyness.c,1,1,1
Static Function,age,mod_lbmethod_byrequests.c,1,1,1
Static Function,age,mod_lbmethod_heartbeat.c,1,1,1
Function,ajp_alloc_data_msg,ajp_header.c,5,2,5
Function,ajp_handle_cping_cpong,ajp_utils.c,11,236,13
Function,ajp_ilink_receive,ajp_link.c,4,8,10
Function,ajp_ilink_send,ajp_link.c,4,3,11
Static Function,ajp_log_overflow,ajp_msg.c,2,2,20
Static Function,ajp_marshal_into_msgb,ajp_header.c,17,3782400,32
Function,ajp_msg_append_bytes,ajp_msg.c,4,3,6
Function,ajp_msg_append_string_ex,ajp_msg.c,6,4,7
Function,ajp_msg_append_uint16,ajp_msg.c,5,2,6
Function,ajp_msg_append_uint32,ajp_msg.c,5,2,4
Function,ajp_msg_append_uint8,ajp_msg.c,5,2,7
Function,ajp_msg_check_header,ajp_msg.c,6,5,8
Function,ajp_msg_copy,ajp_msg.c,6,3,10
Function,ajp_msg_create,ajp_msg.c,9,1,6
Function,ajp_msg_dump,ajp_msg.c,5,30,11
Function,ajp_msg_end,ajp_msg.c,3,2,4
Function,ajp_msg_get_bytes,ajp_msg.c,6,2,4
Function,ajp_msg_get_string,ajp_msg.c,5,2,5
Function,ajp_msg_get_uint16,ajp_msg.c,4,2,8
Function,ajp_msg_get_uint32,ajp_msg.c,4,2,4
Function,ajp_msg_get_uint8,ajp_msg.c,4,2,8
Function,ajp_msg_log,ajp_msg.c,4,15,16
Function,ajp_msg_peek_uint16,ajp_msg.c,3,2,5
Function,ajp_msg_peek_uint8,ajp_msg.c,3,2,6
Function,ajp_msg_reset,ajp_msg.c,4,1,7
Function,ajp_msg_reuse,ajp_msg.c,7,1,5
Function,ajp_msg_serialize_cping,ajp_msg.c,3,2,2
